2011-05-26 01:20:18 Notice: Notice (8): Undefined index: email in [/Applications/MAMP/htdocs/gholias/views/themed/adminus/users/index.ctp, line 36]
2011-06-06 23:09:50 Notice: Notice (8): Undefined variable: areas in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/parceiros/admin_editar.ctp, line 36]
2011-06-08 08:25:32 Notice: Notice (8): Undefined variable: enquetes in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/enquetes/admin_index.ctp, line 33]
2011-06-08 08:31:18 Notice: Notice (8): Undefined variable: parceiro in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/enquetes/admin_index.ctp, line 39]
2011-06-08 08:31:18 Notice: Notice (8): Undefined variable: parceiro in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/enquetes/admin_index.ctp, line 42]
2011-06-08 08:31:18 Notice: Notice (8): Undefined variable: parceiro in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/enquetes/admin_index.ctp, line 43]
2011-06-08 08:32:04 Notice: Notice (8): Undefined variable: parceiro in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/enquetes/admin_index.ctp, line 39]
2011-06-08 08:32:04 Notice: Notice (8): Undefined variable: parceiro in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/enquetes/admin_index.ctp, line 42]
2011-06-08 08:32:04 Notice: Notice (8): Undefined variable: parceiro in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/enquetes/admin_index.ctp, line 43]
2011-06-08 08:45:49 Notice: Notice (8): Undefined variable: enquete in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/respostas/admin_index.ctp, line 7]
2011-06-08 08:45:49 Notice: Notice (8): Undefined variable: enquete in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/respostas/admin_index.ctp, line 7]
2011-06-08 08:45:49 Notice: Notice (8): Undefined variable: enquete in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/respostas/admin_index.ctp, line 7]
2011-06-08 08:56:45 Notice: Notice (8): Undefined property: AlbunsController::$regioes in [/Applications/MAMP/htdocs/conveniencia/controllers/albuns_controller.php, line 25]
2011-06-08 09:04:09 Notice: Notice (8): Undefined variable: parceiros in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/albuns/admin_index.ctp, line 35]
2011-06-08 09:04:27 Notice: Notice (8): Undefined variable: albuns in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/albuns/admin_index.ctp, line 35]
2011-06-08 09:34:40 Notice: Notice (8): Undefined index: Foto in [/Applications/MAMP/htdocs/conveniencia/controllers/albuns_controller.php, line 37]
2011-06-08 09:45:59 Notice: Notice (8): Undefined variable: _foto in [/Applications/MAMP/htdocs/conveniencia/controllers/albuns_controller.php, line 40]
2011-06-08 09:45:59 Notice: Notice (8): Undefined index: tmp_name in [/Applications/MAMP/htdocs/conveniencia/controllers/components/file.php, line 25]
2011-06-08 09:46:15 Notice: Notice (8): Undefined variable: _foto in [/Applications/MAMP/htdocs/conveniencia/controllers/albuns_controller.php, line 40]
2011-06-08 09:46:15 Notice: Notice (8): Undefined index: tmp_name in [/Applications/MAMP/htdocs/conveniencia/controllers/components/file.php, line 25]
2011-06-08 09:46:32 Notice: Notice (8): Undefined index: titulo in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/albuns/admin_index.ctp, line 38]
2011-06-08 09:46:39 Notice: Notice (8): Undefined index: Parceiro in [/Applications/MAMP/htdocs/conveniencia/controllers/parceiros_controller.php, line 8]
2011-06-08 09:47:46 Notice: Notice (8): Undefined index: Parceiro in [/Applications/MAMP/htdocs/conveniencia/controllers/parceiros_controller.php, line 8]
2011-06-08 10:03:13 Notice: Notice (8): Undefined variable: resposta in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/fotos/admin_index.ctp, line 33]
2011-06-08 10:51:53 Notice: Notice (8): Undefined property: Foto::$album_id in [/Applications/MAMP/htdocs/conveniencia/models/foto.php, line 15]
2011-06-08 10:51:53 Notice: Notice (8): Undefined property: Foto::$album_id in [/Applications/MAMP/htdocs/conveniencia/models/foto.php, line 16]
2011-06-08 10:52:09 Notice: Notice (8): Undefined property: Foto::$album_id in [/Applications/MAMP/htdocs/conveniencia/models/foto.php, line 16]
2011-06-08 10:52:09 Notice: Notice (8): Undefined property: Foto::$album_id in [/Applications/MAMP/htdocs/conveniencia/models/foto.php, line 17]
2011-06-08 10:55:10 Notice: Notice (8): Undefined variable: id in [/Applications/MAMP/htdocs/conveniencia/models/foto.php, line 16]
2011-06-08 10:55:10 Notice: Notice (8): Undefined variable: id in [/Applications/MAMP/htdocs/conveniencia/models/foto.php, line 17]
2011-06-08 10:55:10 Notice: Notice (8): Undefined variable: id in [/Applications/MAMP/htdocs/conveniencia/models/foto.php, line 18]
2011-06-08 10:56:00 Notice: Notice (8): Undefined variable: id in [/Applications/MAMP/htdocs/conveniencia/models/foto.php, line 17]
2011-06-08 10:56:00 Notice: Notice (8): Undefined variable: id in [/Applications/MAMP/htdocs/conveniencia/models/foto.php, line 18]
2011-06-08 10:56:00 Notice: Notice (8): Undefined variable: id in [/Applications/MAMP/htdocs/conveniencia/models/foto.php, line 19]
2011-06-08 10:56:26 Notice: Notice (8): Undefined variable: id in [/Applications/MAMP/htdocs/conveniencia/models/foto.php, line 17]
2011-06-08 10:56:26 Notice: Notice (8): Undefined variable: path in [/Applications/MAMP/htdocs/conveniencia/models/foto.php, line 32]
2011-06-08 10:56:37 Notice: Notice (8): Undefined variable: id in [/Applications/MAMP/htdocs/conveniencia/models/foto.php, line 17]
2011-06-08 11:08:49 Notice: Notice (8): Undefined variable: t in [/Applications/MAMP/htdocs/conveniencia/models/foto.php, line 19]
2011-06-08 12:33:00 Notice: Notice (8): Undefined property: AlbunsController::$referer in [/Applications/MAMP/htdocs/conveniencia/controllers/albuns_controller.php, line 60]
2011-06-08 12:50:01 Notice: Notice (8): Undefined index: flayer in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/agendas/admin_index.ctp, line 40]
2011-06-08 12:50:01 Notice: Notice (8): Undefined variable: enquete in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/agendas/admin_index.ctp, line 50]
2011-06-08 12:50:01 Notice: Notice (8): Undefined variable: enquete in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/agendas/admin_index.ctp, line 51]
2011-06-08 12:50:14 Notice: Notice (8): Undefined index: flayer in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/agendas/admin_index.ctp, line 40]
2011-06-08 12:50:14 Notice: Notice (8): Undefined variable: enquete in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/agendas/admin_index.ctp, line 50]
2011-06-08 12:50:14 Notice: Notice (8): Undefined variable: enquete in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/agendas/admin_index.ctp, line 51]
2011-06-08 12:50:24 Notice: Notice (8): Undefined variable: enquete in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/agendas/admin_index.ctp, line 50]
2011-06-08 12:50:24 Notice: Notice (8): Undefined variable: enquete in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/agendas/admin_index.ctp, line 51]
2011-06-08 12:51:09 Notice: Notice (8): Undefined variable: enquete in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/agendas/admin_index.ctp, line 50]
2011-06-08 12:51:09 Notice: Notice (8): Undefined variable: enquete in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/agendas/admin_index.ctp, line 51]
2011-06-08 12:53:47 Notice: Notice (8): Undefined offset: 1 in [/Applications/MAMP/htdocs/conveniencia/app_controller.php, line 82]
2011-06-08 12:53:47 Notice: Notice (8): Undefined offset: 1 in [/Applications/MAMP/htdocs/conveniencia/app_controller.php, line 85]
2011-06-08 12:53:47 Notice: Notice (8): Undefined variable: src_img in [/Applications/MAMP/htdocs/conveniencia/app_controller.php, line 88]
2011-06-08 12:53:47 Notice: Notice (8): Undefined variable: src_img in [/Applications/MAMP/htdocs/conveniencia/app_controller.php, line 89]
2011-06-08 12:53:47 Notice: Notice (8): Undefined variable: src_img in [/Applications/MAMP/htdocs/conveniencia/app_controller.php, line 106]
2011-06-08 12:53:47 Notice: Notice (8): Undefined offset: 1 in [/Applications/MAMP/htdocs/conveniencia/app_controller.php, line 107]
2011-06-08 12:53:47 Notice: Notice (8): Undefined variable: src_img in [/Applications/MAMP/htdocs/conveniencia/app_controller.php, line 114]
2011-06-08 12:54:46 Notice: Notice (8): Undefined offset: 1 in [/Applications/MAMP/htdocs/conveniencia/app_controller.php, line 82]
2011-06-08 12:54:46 Notice: Notice (8): Undefined offset: 1 in [/Applications/MAMP/htdocs/conveniencia/app_controller.php, line 85]
2011-06-08 12:54:46 Notice: Notice (8): Undefined variable: src_img in [/Applications/MAMP/htdocs/conveniencia/app_controller.php, line 88]
2011-06-08 12:54:46 Notice: Notice (8): Undefined variable: src_img in [/Applications/MAMP/htdocs/conveniencia/app_controller.php, line 89]
2011-06-08 12:54:46 Notice: Notice (8): Undefined variable: src_img in [/Applications/MAMP/htdocs/conveniencia/app_controller.php, line 106]
2011-06-08 12:54:46 Notice: Notice (8): Undefined offset: 1 in [/Applications/MAMP/htdocs/conveniencia/app_controller.php, line 107]
2011-06-08 12:54:46 Notice: Notice (8): Undefined variable: src_img in [/Applications/MAMP/htdocs/conveniencia/app_controller.php, line 114]
2011-06-08 12:54:58 Notice: Notice (8): Undefined offset: 1 in [/Applications/MAMP/htdocs/conveniencia/app_controller.php, line 82]
2011-06-08 12:54:58 Notice: Notice (8): Undefined offset: 1 in [/Applications/MAMP/htdocs/conveniencia/app_controller.php, line 85]
2011-06-08 12:54:58 Notice: Notice (8): Undefined variable: src_img in [/Applications/MAMP/htdocs/conveniencia/app_controller.php, line 88]
2011-06-08 12:54:58 Notice: Notice (8): Undefined variable: src_img in [/Applications/MAMP/htdocs/conveniencia/app_controller.php, line 89]
2011-06-08 12:54:58 Notice: Notice (8): Undefined variable: src_img in [/Applications/MAMP/htdocs/conveniencia/app_controller.php, line 106]
2011-06-08 12:54:58 Notice: Notice (8): Undefined offset: 1 in [/Applications/MAMP/htdocs/conveniencia/app_controller.php, line 107]
2011-06-08 12:54:58 Notice: Notice (8): Undefined variable: src_img in [/Applications/MAMP/htdocs/conveniencia/app_controller.php, line 114]
2011-06-08 12:55:48 Notice: Notice (8): Undefined offset: 1 in [/Applications/MAMP/htdocs/conveniencia/app_controller.php, line 82]
2011-06-08 12:55:48 Notice: Notice (8): Undefined offset: 1 in [/Applications/MAMP/htdocs/conveniencia/app_controller.php, line 85]
2011-06-08 12:55:48 Notice: Notice (8): Undefined variable: src_img in [/Applications/MAMP/htdocs/conveniencia/app_controller.php, line 88]
2011-06-08 12:55:48 Notice: Notice (8): Undefined variable: src_img in [/Applications/MAMP/htdocs/conveniencia/app_controller.php, line 89]
2011-06-08 12:55:48 Notice: Notice (8): Undefined variable: src_img in [/Applications/MAMP/htdocs/conveniencia/app_controller.php, line 106]
2011-06-08 12:55:48 Notice: Notice (8): Undefined offset: 1 in [/Applications/MAMP/htdocs/conveniencia/app_controller.php, line 107]
2011-06-08 12:55:48 Notice: Notice (8): Undefined variable: src_img in [/Applications/MAMP/htdocs/conveniencia/app_controller.php, line 114]
2011-06-08 12:56:16 Notice: Notice (8): Undefined offset: 1 in [/Applications/MAMP/htdocs/conveniencia/app_controller.php, line 82]
2011-06-08 12:56:16 Notice: Notice (8): Undefined offset: 1 in [/Applications/MAMP/htdocs/conveniencia/app_controller.php, line 85]
2011-06-08 12:56:16 Notice: Notice (8): Undefined variable: src_img in [/Applications/MAMP/htdocs/conveniencia/app_controller.php, line 88]
2011-06-08 12:56:16 Notice: Notice (8): Undefined variable: src_img in [/Applications/MAMP/htdocs/conveniencia/app_controller.php, line 89]
2011-06-08 12:56:16 Notice: Notice (8): Undefined variable: src_img in [/Applications/MAMP/htdocs/conveniencia/app_controller.php, line 106]
2011-06-08 12:56:16 Notice: Notice (8): Undefined offset: 1 in [/Applications/MAMP/htdocs/conveniencia/app_controller.php, line 107]
2011-06-08 12:56:16 Notice: Notice (8): Undefined variable: src_img in [/Applications/MAMP/htdocs/conveniencia/app_controller.php, line 114]
2011-06-08 13:32:29 Notice: Notice (8): Undefined index: imagem, in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/slides/admin_index.ctp, line 36]
2011-06-08 13:32:52 Notice: Notice (8): Undefined index: imagem, in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/slides/admin_index.ctp, line 36]
2011-06-08 17:58:28 Notice: Notice (8): Undefined variable: agendas in [/Applications/MAMP/htdocs/conveniencia/views/elements/parceiros.ctp, line 4]
2011-06-08 17:58:51 Notice: Notice (8): Undefined variable: agendas in [/Applications/MAMP/htdocs/conveniencia/views/elements/parceiros.ctp, line 4]
2011-06-08 18:00:02 Notice: Notice (8): Undefined variable: agendas in [/Applications/MAMP/htdocs/conveniencia/views/elements/parceiros.ctp, line 4]
2011-06-08 18:00:50 Notice: Notice (8): Undefined variable: agendas in [/Applications/MAMP/htdocs/conveniencia/views/elements/parceiros.ctp, line 4]
2011-06-08 18:00:51 Notice: Notice (8): Undefined variable: agendas in [/Applications/MAMP/htdocs/conveniencia/views/elements/parceiros.ctp, line 4]
2011-06-08 18:00:52 Notice: Notice (8): Undefined variable: agendas in [/Applications/MAMP/htdocs/conveniencia/views/elements/parceiros.ctp, line 4]
2011-06-08 18:02:36 Notice: Notice (8): Undefined variable: agendas in [/Applications/MAMP/htdocs/conveniencia/views/elements/parceiros.ctp, line 4]
2011-06-08 18:08:35 Notice: Notice (8): Undefined variable: recados in [/Applications/MAMP/htdocs/conveniencia/views/elements/recados.ctp, line 3]
2011-06-08 18:12:39 Notice: Notice (8): Undefined variable: radioOptions in [/Applications/MAMP/htdocs/cake/libs/view/helpers/form.php, line 870]
2011-06-09 02:16:29 Notice: Notice (8): Undefined property: RespostasController::$referer in [/Applications/MAMP/htdocs/conveniencia/controllers/respostas_controller.php, line 6]
2011-06-10 00:49:30 Notice: Notice (8): Undefined variable: errors in [/Applications/MAMP/htdocs/conveniencia/controllers/paginas_controller.php, line 21]
2011-06-10 00:57:49 Notice: Notice (8): Undefined variable: title_for_layout in [/Applications/MAMP/htdocs/conveniencia/views/recados/cadastrar.ctp, line 1]
2011-06-10 01:01:02 Notice: Notice (8): Undefined property: RecadosController::$Parceiro in [/Applications/MAMP/htdocs/conveniencia/controllers/recados_controller.php, line 9]
2011-06-18 01:22:16 Notice: Notice (8): Undefined index:  in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/respostas/admin_index.ctp, line 38]
2011-06-18 01:22:43 Notice: Notice (8): Undefined index:  in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/respostas/admin_index.ctp, line 38]
2011-06-18 01:23:15 Notice: Notice (8): Undefined index: aprovado in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/recados/admin_index.ctp, line 36]
2011-06-18 01:23:17 Notice: Notice (8): Undefined index: aprovado in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/recados/admin_index.ctp, line 36]
2011-06-18 01:23:37 Notice: Notice (8): Undefined index: aprovado in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/recados/admin_index.ctp, line 36]
2011-06-18 01:23:55 Notice: Notice (8): Undefined index: aprovado in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/recados/admin_index.ctp, line 36]
2011-06-23 06:27:47 Notice: Notice (8): Undefined index: nome in [/Applications/MAMP/htdocs/conveniencia/views/elements/recados.ctp, line 9]
2011-06-23 06:29:48 Notice: Notice (8): Undefined index: nome in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/recados/admin_index.ctp, line 33]
2011-06-23 06:29:48 Notice: Notice (8): Undefined index: email in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/recados/admin_index.ctp, line 34]
2011-06-23 06:29:48 Notice: Notice (8): Undefined index: aprovado in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/recados/admin_index.ctp, line 36]
2011-06-23 06:42:42 Notice: Notice (8): Undefined index: thumb in [/Applications/MAMP/htdocs/conveniencia/views/albuns/visualizar.ctp, line 7]
2011-06-23 13:58:51 Notice: Notice (8): Undefined index: nome in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/recados/admin_index.ctp, line 33]
2011-06-23 13:58:51 Notice: Notice (8): Undefined index: email in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/recados/admin_index.ctp, line 34]
2011-06-23 13:58:51 Notice: Notice (8): Undefined index: aprovado in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/recados/admin_index.ctp, line 36]
2011-06-23 14:00:01 Notice: Notice (8): Undefined index: aprovado in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/recados/admin_index.ctp, line 36]
2011-06-23 14:02:56 Notice: Notice (8): Undefined variable: album in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/recados/admin_index.ctp, line 39]
2011-06-23 14:03:34 Notice: Notice (8): Undefined property: RecadosController::$Album in [/Applications/MAMP/htdocs/conveniencia/controllers/recados_controller.php, line 54]
2011-06-23 14:04:12 Notice: Notice (8): Undefined index: nome in [/Applications/MAMP/htdocs/conveniencia/views/elements/recados.ctp, line 8]
2011-06-24 00:51:14 Notice: Notice (8): Undefined offset: 0 in [/Applications/MAMP/htdocs/cake/libs/controller/controller.php, line 1085]
2011-06-24 00:51:14 Notice: Notice (8): Undefined offset: 0 in [/Applications/MAMP/htdocs/cake/libs/controller/controller.php, line 1086]
2011-06-24 01:05:03 Notice: Notice (8): Undefined variable: cardapios in [/Applications/MAMP/htdocs/conveniencia/views/cardapios/index.ctp, line 3]
2011-06-24 01:05:03 Notice: Notice (8): Undefined property: View::$Paginator in [/Applications/MAMP/htdocs/conveniencia/views/cardapios/index.ctp, line 29]
2011-06-24 01:05:28 Notice: Notice (8): Undefined index: total in [/Applications/MAMP/htdocs/conveniencia/views/cardapios/index.ctp, line 14]
2011-06-24 01:05:28 Notice: Notice (8): Undefined index: data in [/Applications/MAMP/htdocs/conveniencia/views/cardapios/index.ctp, line 19]
2011-06-24 01:54:13 Notice: Notice (8): Undefined variable: foto_top in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 63]
2011-06-24 01:54:13 Notice: Notice (8): Undefined variable: foto_top in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 64]
2011-06-24 01:54:13 Notice: Notice (8): Undefined variable: foto_top in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 65]
2011-06-24 01:54:29 Notice: Notice (8): Undefined variable: fotos_top in [/Applications/MAMP/htdocs/conveniencia/app_controller.php, line 69]
2011-06-24 01:54:59 Notice: Notice (8): Undefined variable: foto_top in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 63]
2011-06-24 01:54:59 Notice: Notice (8): Undefined variable: foto_top in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 64]
2011-06-24 01:54:59 Notice: Notice (8): Undefined variable: foto_top in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 65]
2011-06-24 01:55:33 Notice: Notice (8): Undefined variable: foto_top in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 63]
2011-06-24 01:55:33 Notice: Notice (8): Undefined variable: foto_top in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 64]
2011-06-24 01:55:33 Notice: Notice (8): Undefined variable: foto_top in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 65]
2011-06-25 01:03:42 Notice: Notice (8): Undefined variable: fotos_top in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 63]
2011-06-25 01:03:42 Notice: Notice (8): Undefined variable: fotos_top in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 64]
2011-06-25 01:03:42 Notice: Notice (8): Undefined variable: fotos_top in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 65]
2011-06-25 01:03:42 Notice: Notice (8): Undefined variable: fotos_top in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 63]
2011-06-25 01:03:42 Notice: Notice (8): Undefined variable: fotos_top in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 64]
2011-06-25 01:03:42 Notice: Notice (8): Undefined variable: fotos_top in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 65]
2011-06-25 01:08:31 Notice: Notice (8): Undefined variable: prefs in [/Applications/MAMP/htdocs/conveniencia/controllers/usuarios_controller.php, line 17]
2011-06-25 05:36:05 Notice: Notice (8): Undefined variable: fotos_top in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 60]
2011-06-25 05:36:05 Notice: Notice (8): Undefined variable: fotos_top in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 61]
2011-06-25 05:36:05 Notice: Notice (8): Undefined variable: fotos_top in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 62]
2011-06-25 05:36:05 Notice: Notice (8): Undefined variable: fotos_top in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 60]
2011-06-25 05:36:05 Notice: Notice (8): Undefined variable: fotos_top in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 61]
2011-06-25 05:36:05 Notice: Notice (8): Undefined variable: fotos_top in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 62]
2011-06-25 05:56:00 Notice: Notice (8): Undefined property: View::$Paginator in [/Applications/MAMP/htdocs/conveniencia/views/albuns/visualizar.ctp, line 19]
2011-06-26 23:31:02 Notice: Notice (8): Undefined offset: 0 in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 60]
2011-06-26 23:31:02 Notice: Notice (8): Undefined offset: 1 in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 61]
2011-06-26 23:31:02 Notice: Notice (8): Undefined offset: 2 in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 62]
2011-06-26 23:31:23 Notice: Notice (8): Undefined offset: 0 in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 60]
2011-06-26 23:31:23 Notice: Notice (8): Undefined offset: 1 in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 61]
2011-06-26 23:31:23 Notice: Notice (8): Undefined offset: 2 in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 62]
2011-06-26 23:31:40 Notice: Notice (8): Undefined variable: fotos_top in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 60]
2011-06-26 23:31:40 Notice: Notice (8): Undefined variable: fotos_top in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 61]
2011-06-26 23:31:40 Notice: Notice (8): Undefined variable: fotos_top in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 62]
2011-06-26 23:31:40 Notice: Notice (8): Undefined variable: fotos_top in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 60]
2011-06-26 23:31:40 Notice: Notice (8): Undefined variable: fotos_top in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 61]
2011-06-26 23:31:40 Notice: Notice (8): Undefined variable: fotos_top in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 62]
2011-06-26 23:31:44 Notice: Notice (8): Undefined offset: 0 in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 60]
2011-06-26 23:31:44 Notice: Notice (8): Undefined offset: 1 in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 61]
2011-06-26 23:31:44 Notice: Notice (8): Undefined offset: 2 in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 62]
2011-06-26 23:31:44 Notice: Notice (8): Undefined offset: 0 in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 60]
2011-06-26 23:31:44 Notice: Notice (8): Undefined offset: 1 in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 61]
2011-06-26 23:31:44 Notice: Notice (8): Undefined offset: 2 in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 62]
2011-06-26 23:31:47 Notice: Notice (8): Undefined variable: fotos_top in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 60]
2011-06-26 23:31:47 Notice: Notice (8): Undefined variable: fotos_top in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 61]
2011-06-26 23:31:47 Notice: Notice (8): Undefined variable: fotos_top in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 62]
2011-06-26 23:31:47 Notice: Notice (8): Undefined variable: fotos_top in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 60]
2011-06-26 23:31:47 Notice: Notice (8): Undefined variable: fotos_top in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 61]
2011-06-26 23:31:47 Notice: Notice (8): Undefined variable: fotos_top in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 62]
2011-06-26 23:35:54 Notice: Notice (8): Undefined offset: 2 in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 62]
2011-06-27 01:06:12 Notice: Notice (8): Undefined variable: fotos_top in [/Applications/MAMP/htdocs/conveniencia/views/layouts/default.ctp, line 60]
